33	2.11000000000000e-10
9	2.08000000000000e-10
15	2.05000000000000e-10
25	1.83000000000000e-10
23	-2.11000000000000e-10
3	-2.06000000000000e-10
35	2.02000000000000e-10
5	-1.78000000000000e-10
7	-2.05000000000000e-10
16	-2.06000000000000e-10
17	-2.05000000000000e-10
12	2.24000000000000e-10
14	2.03000000000000e-10
18	1.98000000000000e-10
22	2.04000000000000e-10
19	-2.10000000000000e-10
26	2.07000000000000e-10
30	-2.12000000000000e-10
36	-2.03000000000000e-10
34	2.74000000000000e-10
10	NaN
13	1.40000000000000e-10
21	-2.91000000000000e-10
20	-3.00000000000000e-10
24	-2.58000000000000e-10
4	1.37000000000000e-10
11	-1.33000000000000e-10
37	-1.72000000000000e-10
27	-1.50000000000000e-10
